"n","z","kinetic energy","potential energy"
435,8.533333333,9727.390121341,24027771.494480725
436,8.533333333,9742.242715566,23392115.870699257
437,8.533333333,9764.966657467,23507754.256099444
438,8.533333333,9816.490030086,23904619.774718173
439,8.533333333,9896.958697440,23525141.600683872
440,8.533333333,9973.429031033,23289902.562057588
441,8.533333333,10034.777192583,23633206.630578518
442,8.533333333,10103.295701773,24692091.522547875
443,8.533333333,10164.172768415,23486367.873762410
444,8.533333333,10217.131146687,23489467.587514017
445,8.533333333,10276.674587312,23850381.499231283
446,8.533333333,10338.605971496,23730363.832421139
447,8.533333333,10383.796133405,23888647.123204108
448,8.533333333,10419.346566483,23519490.978032965
449,8.533333333,10446.809500074,23497696.334767513
450,8.533333333,10440.272460496,23884477.463688090
451,8.533333333,10409.501150358,23679026.778323971
452,8.533333333,10364.063656055,24813440.487703953
453,8.533333333,10313.324659386,23490456.042358488
454,8.533333333,10251.727456936,23624878.421032134
455,8.533333333,10182.889642280,23677390.495174561
456,8.533333333,10108.279194221,23486790.502573501
457,8.533333333,10038.069547025,24275097.119365089
458,8.533333333,9973.675876773,23794214.559299652
459,8.533333333,9917.997616061,23667632.050613854
460,8.533333333,9858.659946449,23611448.025305957
461,8.533333333,9786.674012119,23769426.364768870
462,8.533333333,9682.662178755,23764965.283261761
463,8.533333333,9566.166739160,23600057.222069137
464,8.533333333,9452.880504250,23756759.795206267
465,8.533333333,9345.412600032,23652822.687225234
466,8.533333333,9251.967713190,23723514.913914990
467,8.533333333,9171.624515786,23956612.887621097
468,8.533333333,9103.992110037,inf
469,8.533333333,9068.629457919,23974327.053424332
470,8.533333333,9053.713908870,23609332.616017114
471,8.533333333,9055.775738233,24731447.396653235
472,8.533333333,9082.183114565,23798173.655480944
473,8.533333333,9122.439485345,23827079.102324788
474,8.533333333,9167.351428306,23594384.597254604
475,8.533333333,9215.225457554,inf
476,8.533333333,9257.451990431,23658230.299705077
477,8.533333333,9305.355014258,23560071.001527470
478,8.533333333,9363.357237132,23751554.291806147
479,8.533333333,9430.315528115,23638069.599439144
480,8.533333333,9502.979645598,23993838.422576085
481,8.533333333,9572.336590072,23485080.791949391
482,8.533333333,9641.233254690,25341499.739030067
483,8.533333333,9713.266075210,24431221.394193362
484,8.533333333,9783.665252222,23559751.825838678
485,8.533333333,9855.690662946,23671176.309888050
486,8.533333333,9914.782430379,24105457.012205333
487,8.533333333,9952.721023626,24634846.392661113
488,8.533333333,9974.381632218,24792963.501840182
489,8.533333333,9970.863158157,23748620.861385550
490,8.533333333,9955.178183077,23694286.387166247
491,8.533333333,9923.400770578,23684637.682626244
492,8.533333333,9884.135294077,23725590.590554558
493,8.533333333,9851.957975097,24628033.456665967
494,8.533333333,9829.729209222,23816221.990075182
495,8.533333333,9809.721700026,23786073.200930521
496,8.533333333,9794.694100245,23986340.385613952
497,8.533333333,9787.591639010,23624054.977021571
498,8.533333333,9779.675164074,23934284.890454132
499,8.533333333,9761.855608701,23881868.371626738
500,8.533333333,9729.063718322,24121959.052808587
501,8.533333333,9698.563228522,23613700.192720905
502,8.533333333,9666.080223462,23681782.590213709
503,8.533333333,9642.675316059,23793847.157463696
504,8.533333333,9638.997384772,24559054.429516472
505,8.533333333,9658.758249765,23832909.743330102
506,8.533333333,9698.405241037,24303714.635649115
507,8.533333333,9744.282202451,24105646.762626167
508,8.533333333,9788.325947816,24048558.043979339
509,8.533333333,9812.970275176,24000548.433650002
510,8.533333333,9819.390767906,24893148.317947365
511,8.533333333,9822.284697601,23782388.046805561
512,8.533333333,9817.650745549,24520131.105936389
513,8.533333333,9816.746354532,24228356.945916843
514,8.533333333,9824.350953722,24098876.845169738
515,8.533333333,9840.902346422,24001930.222850598
516,8.533333333,9863.534734614,24032073.040671341
517,8.533333333,9899.377546903,23852678.249265011
518,8.533333333,9944.679735106,24152573.149151318
519,8.533333333,9987.613856582,24119662.897637073
520,8.533333333,10030.575221233,25032526.982505307
521,8.533333333,10067.483973005,24327301.734867461
522,8.533333333,10100.764877138,23886761.176347122
523,8.533333333,10124.308668604,24461477.715234134
524,8.533333333,10136.385866605,24292936.820599839
525,8.533333333,10132.658267578,24652985.002311900
526,8.533333333,10127.260805070,24020447.579022344
527,8.533333333,10129.395650506,24275670.322589662
528,8.533333333,10135.793883541,24617869.352625750
529,8.533333333,10147.460947952,24298747.857893057
530,8.533333333,10150.017387140,24092544.147625636
531,8.533333333,10148.618577615,24360864.463755134
532,8.533333333,10124.694756666,inf
533,8.533333333,10081.444139983,24114103.790589128
534,8.533333333,10023.394885494,24933736.789316379
535,8.533333333,9942.612229446,27706563.510841914
536,8.533333333,9855.320021711,24338570.901513942
537,8.533333333,9754.608468359,24558347.946869314
538,8.533333333,9648.755625656,24300866.008857917
539,8.533333333,9554.626484721,24558536.831538804
540,8.533333333,9476.031387629,24912862.640003987
541,8.533333333,9409.411936033,24333322.777122736
542,8.533333333,9356.171279976,26478515.954693962
543,8.533333333,9314.423912004,24373606.333981778
544,8.533333333,9284.537435647,24481595.926618338
545,8.533333333,9259.604174932,27441031.914693095
546,8.533333333,9241.565380122,24521450.658172246
547,8.533333333,9237.153473254,24344441.942011110
548,8.533333333,9242.310190893,25027181.178836945
549,8.533333333,9256.804012667,24540666.934702270
550,8.533333333,9285.231007263,25130367.025462665
551,8.533333333,9321.739330949,24493003.421321720
552,8.533333333,9366.486771620,24973169.420883041
553,8.533333333,9418.936824593,25167003.118133966
554,8.533333333,9479.070092279,25074286.226041663
555,8.533333333,9536.600204766,24696642.518813644
556,8.533333333,9593.363643266,24764056.226759523
557,8.533333333,9641.934323441,25165387.996111635
558,8.533333333,9684.831489267,25261145.134391129
559,8.533333333,9724.972097819,24883042.952022679
560,8.533333333,9751.450571176,inf
561,8.533333333,9771.820362261,24882934.400551774
562,8.533333333,9786.191345538,24713782.479429863
563,8.533333333,9796.915217666,26264674.082515106
564,8.533333333,9809.197468981,27490900.099340487
565,8.533333333,9825.597147600,24723693.501343645
566,8.533333333,9835.264158311,25137901.580133826
567,8.533333333,9832.533730317,24852714.914096855
568,8.533333333,9816.892562655,25680352.480024286
569,8.533333333,9808.297669028,25106976.972916521
570,8.533333333,9819.366054641,24952684.133675840
571,8.533333333,9844.594986235,24928965.999423817
572,8.533333333,9860.551802510,25190388.532804590
573,8.533333333,9866.014083798,25220995.419107862
574,8.533333333,9858.774091720,25654382.461697996
575,8.533333333,9848.007056977,25198984.126643572
576,8.533333333,9840.815240907,25355244.977350909
577,8.533333333,9840.786482649,25331020.699660167
578,8.533333333,9847.613299433,25490800.987253670
579,8.533333333,9855.245281179,25590957.997188061
580,8.533333333,9869.241121701,25200531.181200717
581,8.533333333,9892.758055655,25147873.480120063
582,8.533333333,9936.465999946,25125064.487522330
583,8.533333333,9998.659813821,26670549.351333313
584,8.533333333,10068.709402925,26368392.198891077
585,8.533333333,10146.622817762,25197999.819393534
586,8.533333333,10229.589123695,25267438.425861813
587,8.533333333,10303.617602432,25260050.792469773
588,8.533333333,10364.780518551,25160930.357331567
589,8.533333333,10396.870378093,25434511.665569559
590,8.533333333,10410.636038301,25448690.305539694
591,8.533333333,10413.110203371,25291339.020658478
592,8.533333333,10408.758481421,25402387.289962277
593,8.533333333,10384.224520887,25518025.871455483
594,8.533333333,10336.077074080,25141258.316414345
595,8.533333333,10272.269125910,inf
596,8.533333333,10196.210270453,25669955.732579507
597,8.533333333,10120.892989404,25440068.216186717
598,8.533333333,10051.291769546,25331722.326219521
599,8.533333333,9975.706924195,27117992.189144567
